Date and Time, UTC	        R.A., deg	          Dec, deg	        Az, deg	        Elev, deg	          MJD
2024-11-20 13:51:30.000004	210.35072143072438	70.04446310633924	-19.16688147135931	15.462619939745196	60634.5774305556
2024-11-20 13:52:00.000002	217.30413748575464	75.61139622495656	-14.75022677829291	19.61241085959045	60634.5777777778
2024-11-20 13:52:30.000000	238.39197380142758	82.19004412638803	-8.5522588406725	24.617819584862847	60634.578125
2024-11-20 13:52:59.999998	326.9322670147405	83.50729267080234	0.5515763367454752	30.542634331829596	60634.5784722222
2024-11-20 13:53:29.999996	3.3119444827525726	72.23049688230813	14.337827808641421	36.89767347618185	60634.5788194444
2024-11-20 13:53:59.999995	12.641208198957067	56.442450236986616	34.417697328726256	41.8007828193222	60634.579166666605
2024-11-20 13:54:29.999993	17.16058853321438	38.83279433110137	58.52693537411482	42.31545618993012	60634.579513888806
2024-11-20 13:54:59.999991	20.106654232917844	22.30501303727468	79.7312434164195	38.05131749217018	60634.57986111101
2024-11-20 13:55:29.999989	22.359825972739486	8.764623632898397	94.61712354175869	31.79147770646013	60634.58020833321
2024-11-20 13:55:59.999987	24.254412336870075	-1.6030174562235906	104.43592641224853	25.734794572970827	60634.58055555541
2024-11-20 13:56:29.999986	25.94481294178004	-9.437418370640101	111.06097013839545	20.563986681290835	60634.58090277761
2024-11-20 13:56:59.999984	27.512215609401295	-15.443136715125572	115.73319688870166	16.273106330972656	60634.581249999814
