Date and Time, UTC	        R.A., deg	          Dec, deg	        Az, deg	        Elev, deg	          MJD
2024-11-01 14:09:30.000020	230.18568874649145	16.993342529850274	-78.78931275463776	17.540598937708335	60615.58993055578
2024-11-01 14:10:00.000018	234.73031228856686	17.1381807189338	-80.18827137136918	21.55698709702558	60615.590277777985
2024-11-01 14:10:30.000016	240.23710433516266	17.09272240675462	-82.09678093896645	26.395811123894333	60615.590625000186
2024-11-01 14:11:00.000014	247.05445292329225	16.728580619324454	-84.83608208610627	32.34846562652326	60615.59097222239
2024-11-01 14:11:30.000013	255.63899057651193	15.826624214673547	-89.05565490310933	39.774605303051814	60615.59131944459
2024-11-01 14:12:00.000011	266.4912420224649	14.042656250186795	-96.24947687175957	48.95963409588246	60615.59166666679
2024-11-01 14:12:30.000009	279.8874793559849	10.959440822421632	-110.38336916082463	59.472180382200676	60615.59201388899
2024-11-01 14:13:00.000007	295.3440145300041	6.404817223670422	-141.19847198747055	67.97039149847626	60615.592361111194
2024-11-01 14:13:30.000005	311.3054583475851	0.9383256117196239	174.533179740848	66.75255434511406	60615.592708333395
2024-11-01 14:14:00.000004	325.8910347503151	-4.328146951604686	148.14734849575265	57.29620166825357	60615.5930555556
2024-11-01 14:14:30.000002	338.05616451492506	-8.631995210260053	136.01159241780542	46.94883939354368	60615.5934027778
2024-11-01 14:15:00.000000	347.7652832633817	-11.875898936677803	129.62985240820964	38.14611680383362	60615.59375
2024-11-01 14:15:29.999998	355.4571573151685	-14.282329751766792	125.79122063599326	31.06462684028055	60615.5940972222
2024-11-01 14:15:59.999996	1.6278025551043729	-16.10141847872699	123.25314524060556	25.377291648399957	60615.5944444444
2024-11-01 14:16:29.999995	6.681835256006825	-17.52173676428997	121.45946318678682	20.73477194349249	60615.594791666605
2024-11-01 14:16:59.999993	10.916531368851215	-18.669956921008808	120.1287287830575	16.8632817892098	60615.595138888806
2024-11-01 15:55:30.000003	274.7553363631697	-20.628453530541503	-122.33458044519945	16.52561941570606	60615.6635416667
2024-11-01 15:56:00.000001	280.4856773777365	-25.050255371878965	-129.27521888874952	18.04240049818262	60615.6638888889
2024-11-01 15:56:29.999999	286.9649323448502	-29.715156083749783	-136.90171786818712	19.196306361620614	60615.6642361111
2024-11-01 15:56:59.999997	294.26665458110426	-34.42301851039909	-145.02806759601222	19.86117415630884	60615.6645833333
2024-11-01 15:57:29.999996	302.4117062266899	-38.918046796589124	-153.36907812189244	19.95291634553725	60615.664930555504
2024-11-01 15:57:59.999994	311.3275946047875	-42.934644298094156	-161.5913972148553	19.459836614406775	60615.665277777705
2024-11-01 15:58:29.999992	320.8163145688658	-46.25853353195195	-169.38914964127457	18.44715775830045	60615.66562499991
2024-11-01 15:58:59.999990	330.55935427997923	-48.77674761119087	-176.5452428839082	17.03256517810928	60615.66597222211
2024-11-01 15:59:29.999988	340.17747530139525	-50.49300409640863	177.04819756545655	15.349239040398064	60615.66631944431
