Date and Time	                  X, km	                    Y, km	                  Z, km
2024-11-01 12:59:59.999987	1831.354806648716	-5787008.106566928	3795641.316840017
2024-11-01 13:00:29.999985	165486.81112935187	-5696799.585982799	3925834.095032504
2024-11-01 13:00:59.999983	328963.3135559475	-5600430.829436088	4051769.957327352
2024-11-01 13:01:29.999981	492084.10140870704	-5498006.31590161	4173312.5419968455
2024-11-01 13:02:00.000020	654673.0329807881	-5389636.924121953	4290330.424730255
2024-11-01 13:02:30.000018	816553.9052863698	-5275440.397909107	4402696.6376665635
2024-11-01 13:03:00.000016	977551.9529987953	-5155540.343085217	4510289.746351666
2024-11-01 13:03:30.000014	1137493.1643753739	-5030066.663623434	4612993.345102788
2024-11-01 13:04:00.000013	1296204.6874356377	-4899155.276465835	4710696.340534656
2024-11-01 13:04:30.000011	1453515.016120953	-4762947.961506503	4803293.069149319
2024-11-01 13:05:00.000009	1609254.174704013	-4621592.205551361	4890683.40890272
2024-11-01 13:05:30.000007	1763253.900259289	-4475241.04045705	4972772.88466124
2024-11-01 13:06:00.000005	1915347.8230251046	-4324052.875641118	5049472.767477961
2024-11-01 13:06:30.000004	2065371.6444811116	-4168191.325168155	5120700.167618273
2024-11-01 13:07:00.000002	2213163.312984037	-4007825.0296039768	5186378.121278793
2024-11-01 13:07:30.000000	2358563.196792277	-3843127.4728477905	5246435.670940889
2024-11-01 13:07:59.999998	2501414.2543302327	-3674276.7941373135	5300807.939314096
2024-11-01 13:08:29.999996	2641562.2015398648	-3501455.5954296594	5349436.196825772
2024-11-01 13:08:59.999995	2778855.676169908	-3324850.7443631925	5392267.9226186285
2024-11-01 13:09:29.999993	2913146.3988667633	-3144653.172993803	5429256.859025698
2024-11-01 13:09:59.999991	3044289.3309175284	-2961057.6725208284	5460363.059491036
2024-11-01 13:10:29.999989	3172142.8285219204	-2774262.6841889145	5485552.92991586
2024-11-01 13:10:59.999987	3296568.793454055	-2584470.086576049	5504799.263407402
2024-11-01 13:11:29.999986	3417432.8199846502	-2391884.9794710525	5518081.268414252
2024-11-01 13:11:59.999984	3534604.337949336	-2196715.4645234025	5525384.590236124
2024-11-01 13:12:29.999982	3647956.7518126746	-1999172.42291059	5526701.325895145
2024-11-01 13:12:59.999980	3757367.5756440815	-1799469.2901658781	5522030.032365617
2024-11-01 13:13:30.000019	3862718.7023717132	-1597821.5567765578	5511375.709858606
2024-11-01 13:14:00.000017	3963895.970457597	-1394447.6223954312	5494749.861940267
2024-11-01 13:14:30.000015	4060790.1337874467	-1189566.9404564775	5472170.398062725
2024-11-01 13:15:00.000013	4153296.408266244	-983400.863274919	5443661.664350225
2024-11-01 13:15:30.000012	4241314.728553431	-776172.1367054232	5409254.408324867
2024-11-01 13:16:00.000010	4324749.855944418	-568104.6624607841	5368985.74729484
2024-11-01 13:16:30.000008	4403511.4813755695	-359423.25901636906	5322899.130125804
2024-11-01 13:17:00.000006	4477514.323408845	-150353.42139717663	5271044.292424107
2024-11-01 13:17:30.000004	4546678.221107618	58878.91997311539	5213477.205147543
2024-11-01 13:18:00.000003	4610928.2216931265	268047.641122784	5150260.016672413
2024-11-01 13:18:30.000001	4670194.662884144	476926.66687087587	5081460.988343504
2024-11-01 13:18:59.999999	4724413.249816121	685290.2134149203	5007154.423544323
2024-11-01 13:19:29.999997	4773525.12644396	892913.0309415672	4927420.590325686
2024-11-01 13:19:59.999996	4817476.941332784	1099570.6460238995	4842345.637637576
2024-11-01 13:20:29.999994	4856220.907744144	1305039.603567048	4752021.50521439
2024-11-01 13:20:59.999992	4889714.857926885	1509097.708053422	4656545.827172659
2024-11-01 13:21:29.999990	4917922.291528215	1711524.2638486677	4556021.829381116
2024-11-01 13:21:59.999988	4940812.418041143	1912100.3143125959	4450558.220675169
2024-11-01 13:22:29.999987	4958360.193209627	2110608.879455521	4340269.077996289
2024-11-01 13:22:59.999985	4970546.349319289	2306835.1918943217	4225273.725535343
2024-11-01 13:23:29.999983	4977357.4193034405	2500566.9308391344	4105696.6079767207
2024-11-01 13:23:59.999981	4978785.754601336	2691594.453842067	3981667.1579481936
2024-11-01 13:24:30.000020	4974829.527796914	2879711.2762930905	3853319.4828189705
