Date and Time	                  X, km	                    Y, km	                  Z, km
2024-11-01 12:59:59.999987	-1716295.516693852	-6344816.858782607	2175441.643899111
2024-11-01 13:00:29.999985	-1561721.5723874655	-6325310.352343777	2341530.199929121
2024-11-01 13:00:59.999983	-1405458.458397838	-6298962.369070606	2505079.170859632
2024-11-01 13:01:29.999981	-1247675.1908848584	-6265801.409843953	2665911.1743878024
2024-11-01 13:02:00.000020	-1088542.2238326902	-6225863.3263248885	2823852.0018117186
2024-11-01 13:02:30.000018	-928232.1165434144	-6179191.502572262	2978729.965851505
2024-11-01 13:03:00.000016	-766918.0633631004	-6125836.483560873	3130377.3593132924
2024-11-01 13:03:30.000014	-604774.5551601814	-6065856.122172445	3278629.787081528
2024-11-01 13:04:00.000013	-441976.9751851874	-5999315.463853567	3423326.5590831502
2024-11-01 13:04:30.000011	-278701.4067613434	-5926286.672330219	3564310.8650283907
2024-11-01 13:05:00.000009	-115124.44048297209	-5846848.947478982	3701429.9445420867
2024-11-01 13:05:30.000007	48577.0188417566	-5761088.435495911	3834535.2525020842
2024-11-01 13:06:00.000005	212225.94528218944	-5669098.131507596	3963482.6194217755
2024-11-01 13:06:30.000004	375645.38468330825	-5570977.774781371	4088132.4067147616
2024-11-01 13:07:00.000002	538658.647157716	-5466833.736693319	4208349.656697815
2024-11-01 13:07:30.000000	701089.4989489424	-5356778.901627207	4324004.237186869
2024-11-01 13:07:59.999998	862762.3534684683	-5240932.540970847	4434970.980564989
2024-11-01 13:08:29.999996	1023502.4612840749	-5119420.18040071	4541129.817189227
2024-11-01 13:08:59.999995	1183136.0988798453	-4992373.460625017	4642365.9030387
2024-11-01 13:09:29.999993	1341490.7559755489	-4859929.991785079	4738569.741488545
2024-11-01 13:09:59.999991	1498395.3212282397	-4722233.201696934	4829637.2991232015
2024-11-01 13:10:29.999989	1653680.2661224303	-4579432.178134373	4915470.115496188
2024-11-01 13:10:59.999987	1807177.8268767567	-4431681.505343857	4995975.406761492
2024-11-01 13:11:29.999986	1958722.184190313	-4279141.094991273	5071066.163102879
2024-11-01 13:11:59.999984	2108149.640657373	-4121976.0117426296	5140661.239894904
2024-11-01 13:12:29.999982	2255298.7956932415	-3960356.2936723977	5204685.44254059
2024-11-01 13:12:59.999980	2400010.7178046615	-3794456.7677081716	5263069.604929801
2024-11-01 13:13:30.000019	2542129.3028434534	-3624456.62965219	5315750.728274881
2024-11-01 13:14:00.000017	2681500.681581889	-3450540.167787094	5362671.7717193365
2024-11-01 13:14:30.000015	2817974.5270035365	-3272895.196330442	5403782.135425907
2024-11-01 13:15:00.000013	2951403.448365187	-3091713.7597595737	5439037.422766883
2024-11-01 13:15:30.000012	3081643.3403530936	-2907191.701159812	5468399.560790343
2024-11-01 13:16:00.000010	3208553.5363530256	-2719528.452095728	5491836.839615038
2024-11-01 13:16:30.000008	3331996.9580721557	-2528926.8189294487	5509323.945223655
2024-11-01 13:17:00.000006	3451840.2614039425	-2335592.76575723	5520841.985641219
2024-11-01 13:17:30.000004	3567953.978358284	-2139735.19424783	5526378.510479311
2024-11-01 13:18:00.000003	3680212.6550108544	-1941565.7204655139	5525927.523847374
2024-11-01 13:18:30.000001	3788494.985288599	-1741298.4489764078	5519489.4906157255
2024-11-01 13:18:59.999999	3892683.940497811	-1539149.7444049611	5507071.336031751
2024-11-01 13:19:29.999997	3992666.894480442	-1335338.0006395113	5488686.43868778
2024-11-01 13:19:59.999996	4088335.744276367	-1130083.4079065938	5464354.616843677
2024-11-01 13:20:29.999994	4179587.0261810212	-923607.7179184934	5434102.108110694
2024-11-01 13:20:59.999992	4266322.027105279	-716134.0072603219	5397961.542498145
2024-11-01 13:21:29.999990	4348446.891080821	-507886.4393338236	5355971.908850295
2024-11-01 13:21:59.999988	4425872.720860727	-299090.0249420042	5308178.514670496
2024-11-01 13:22:29.999987	4498515.674468201	-89970.38182103966	5254632.939364174
2024-11-01 13:22:59.999985	4566297.056606626	119246.50670379135	5195392.9809164
2024-11-01 13:23:29.999983	4629143.404819515	328334.5336951911	5130522.596035207
2024-11-01 13:23:59.999981	4686986.570304373	537067.7110031048	5060091.833788336
2024-11-01 13:24:30.000020	4739763.8606339	745220.6905111129	4984176.657320496
2024-11-01 13:25:00.000018	4787417.833244689	952567.8907905243	4902859.279210271
2024-11-01 13:25:30.000016	4829896.78441057	1158885.414730977	4816227.464804877
2024-11-01 13:26:00.000014	4867154.517685315	1363950.1735280917	4724374.840255763
2024-11-01 13:26:30.000013	4899150.470721359	1567540.40724055	4627400.696127943
2024-11-01 13:27:00.000011	4925849.761993821	1769435.924741555	4525409.882952574
2024-11-01 13:27:30.000009	4947223.231537582	1969418.342404133	4418512.700645811
2024-11-01 13:28:00.000007	4963247.475619486	2167271.3212565943	4306824.78187806
2024-11-01 13:28:30.000005	4973904.875275087	2362780.802362727	4190466.9694744744
2024-11-01 13:29:00.000004	4979183.618641208	2555735.2401522053	4069565.187948973
2024-11-01 13:29:30.000002	4979077.717023588	2745925.8334493903	3944250.3092685053
2024-11-01 13:30:00.000000	4973587.014643257	2933146.7539179237	3814658.012969733
2024-11-01 13:30:29.999998	4962717.192013333	3117195.3716651285	3680928.64074206
2024-11-01 13:30:59.999996	4946479.762903693	3297872.477730225	3543207.045611131
2024-11-01 13:31:29.999995	4924892.064859542	3474982.5031809453	3401642.4358664323
2024-11-01 13:31:59.999993	4897977.243246745	3648333.7345553767	3256388.2138764425
2024-11-01 13:32:29.999991	4865764.22880578	3817738.525371363	3107601.809955129
2024-11-01 13:32:59.999989	4828287.70870546	3983013.5034313276	2955444.5114504844
2024-11-01 13:33:29.999987	4785588.091094906	4143979.7736604204	2800081.2872277726
2024-11-01 13:33:59.999986	4737711.463163894	4300463.116204602	2641680.6077412777
2024-11-01 13:34:29.999984	4684709.542731424	4452294.179524899	2480414.2608931223
2024-11-01 13:34:59.999982	4626639.623387422	4599308.668240293	2316457.1638729637
2024-11-01 13:35:29.999980	4563564.513233912	4741347.5254433425	2149987.1712157964
2024-11-01 13:36:00.000019	4495552.372779542	4878257.289363194	1981184.6514171786
2024-11-01 13:36:30.000017	4422677.012518845	5009889.5363230305	1810233.196776415
2024-11-01 13:37:00.000015	4345017.26538477	5136102.147004481	1637318.062783773
2024-11-01 13:37:30.000013	4262657.258813053	5256758.722723223	1462626.86600065
2024-11-01 13:38:00.000012	4175686.2345080473	5371728.9236537265	1286349.1518013626
2024-11-01 13:38:30.000010	4084198.450182511	5480888.613069314	1108676.184637353
2024-11-01 13:39:00.000008	3988293.0754701323	5584119.994480143	929800.7362332396
2024-11-01 13:39:30.000006	3888074.0821334072	5681311.741483082	749916.8719807715
2024-11-01 13:40:00.000004	3783650.1287062517	5772359.120141132	569219.7358137253
2024-11-01 13:40:30.000003	3675134.4397130767	5857164.103731385	387905.3338353243
2024-11-01 13:41:00.000001	3562644.679620853	5935635.479706469	206170.31698304924
2024-11-01 13:41:29.999999	3446302.821690712	6007688.948728363	24211.763017991867
2024-11-01 13:41:59.999997	3326235.011897736	6073247.215651747	-157773.04188378813
2024-11-01 13:42:29.999996	3202571.4281060756	6132240.072340608	-339586.8216432382
2024-11-01 13:42:59.999994	3075446.1346867695	6184604.472221928	-521032.52861213754
2024-11-01 13:43:29.999992	2944996.932772044	6230284.596493792	-701913.5614486586
2024-11-01 13:43:59.999990	2811365.2063573687	6269231.911915509	-882033.9822411282
2024-11-01 13:44:29.999988	2674695.7644567094	6301405.220127872	-1061198.7326067695
2024-11-01 13:44:59.999987	2535136.6795258163	6326770.698463798	-1239213.8484891946
2024-11-01 13:45:29.999985	2392839.1223784154	6345301.932223357	-1415886.6733760152
2024-11-01 13:45:59.999983	2247957.193818152	6356979.9384039445	-1591026.0696712364
2024-11-01 13:46:29.999981	2100647.753213851	6361793.180889853	-1764442.627960399
2024-11-01 13:47:00.000020	1951070.0422039293	6359737.569757498	-1935949.1025525974
2024-11-01 13:47:30.000018	1799386.3133364285	6350816.4796996685	-2105359.6982519133
2024-11-01 13:48:00.000016	1645760.4469537253	6335040.723212302	-2272491.6522023776
2024-11-01 13:48:30.000014	1490358.569492197	6312428.533759213	-2437164.509324166
2024-11-01 13:49:00.000013	1333348.6711721488	6283005.5406595925	-2599200.5486510308
2024-11-01 13:49:30.000011	1174900.4211648423	6246804.733899907	-2758424.974785528
2024-11-01 13:50:00.000009	1015184.9813422309	6203866.420813295	-2914666.105608632
2024-11-01 13:50:30.000007	854374.8188542346	6154238.174735413	-3067755.556030685
2024-11-01 13:51:00.000005	692643.5177588861	6097974.775752961	-3217528.417598032
2024-11-01 13:51:30.000004	530165.5899349385	6035138.143672304	-3363823.433772136
2024-11-01 13:52:00.000002	367116.28550667135	5965797.263346098	-3506483.1707046893
2024-11-01 13:52:30.000000	203671.40299143066	5890028.102498162	-3645354.1833562725
2024-11-01 13:52:59.999998	40007.09940152651	5807913.522204237	-3780287.176792857
2024-11-01 13:53:29.999996	-123700.29949792271	5719543.180183079	-3911137.1625273763
2024-11-01 13:53:59.999995	-287274.48855907295	5625013.427066544	-4037763.609766391
2024-11-01 13:54:29.999993	-450539.37205293134	5524427.195815971	-4160030.5914433184
2024-11-01 13:54:59.999991	-613319.2516985561	5417893.884463347	-4277806.9249191
2024-11-01 13:55:29.999989	-775439.013733981	5305529.232352696	-4390966.307249807
2024-11-01 13:55:59.999987	-936724.3148343487	5187455.190069442	-4499387.444918834
2024-11-01 13:56:29.999986	-1097001.7667068199	5063799.783235807	-4602954.177953167
2024-11-01 13:56:59.999984	-1256099.1191740965	4934696.97036897	-4701555.598334993
2024-11-01 13:57:29.999982	-1413845.4415920442	4800286.4949799	-4795086.162646433
2024-11-01 13:57:59.999980	-1570071.302423302	4660713.732113797	-4883445.7988734655
2024-11-01 13:58:30.000019	-1724609.1528683142	4516129.332316798	-4966540.115187239
2024-11-01 13:59:00.000017	-1877292.6755219176	4366689.839989326	-5044280.056204092
2024-11-01 13:59:30.000015	-2027958.2013573966	4212556.360641243	-5116582.6607704675
2024-11-01 14:00:00.000013	-2176444.0489010154	4053895.1562038558	-5183370.691952179
2024-11-01 14:00:30.000012	-2322590.900787212	3890877.276017279	-5244572.828908243
2024-11-01 14:01:00.000010	-2466241.9691875624	3723678.3739656126	-5300123.73768162
2024-11-01 14:01:30.000008	-2607243.15840521	3552478.521370793	-5349964.135870652
2024-11-01 14:02:00.000006	-2745443.2245171755	3377462.0158221712	-5394040.851162271
2024-11-01 14:02:30.000004	-2880693.931938467	3198817.1861314783	-5432306.87370628
2024-11-01 14:03:00.000003	-3012850.206796094	3016736.1935888934	-5464721.402317563
2024-11-01 14:03:30.000001	-3141770.286994044	2831414.829707431	-5491249.884492312
2024-11-01 14:03:59.999999	-3267315.8688699105	2643052.310618535	-5511864.050231222
2024-11-01 14:04:29.999997	-3389352.2503212015	2451851.068315292	-5526541.939658397
2024-11-01 14:04:59.999996	-3507748.470299575	2258016.5389157324	-5535267.924432453
2024-11-01 14:05:29.999994	-3622377.444594497	2061756.948079069	-5538032.722946815
2024-11-01 14:05:59.999992	-3733116.0977511615	1863283.093834408	-5534833.409311507
2024-11-01 14:06:29.999990	-3839845.491073392	1662808.1269143932	-5525673.416120543
2024-11-01 14:06:59.999988	-3942450.946584587	1460547.3288109917	-5510562.531001853
2024-11-01 14:07:29.999987	-4040822.166856463	1256717.8877138537	-5489516.886951354
2024-11-01 14:07:59.999985	-4134853.350606534	1051538.6725068465	-5462558.9464529
2024-11-01 14:08:29.999983	-4224443.303952468	845230.0050317197	-5429717.479392782
2024-11-01 14:08:59.999981	-4309495.54726115	638013.4307202161	-5391027.534764001
2024-11-01 14:09:30.000020	-4389918.522165883	430111.20868591295	-5346530.342629419
