Date and Time	                  X, km	                    Y, km	                  Z, km
2024-11-01 12:59:59.999987	3215106.7707930636	-2710133.245271562	5492395.262246804
2024-11-01 13:00:29.999985	3338265.5117594646	-2519323.9304688033	5509683.289932527
2024-11-01 13:00:59.999983	3457817.05901989	-2325792.343079559	5521001.36236411
2024-11-01 13:01:29.999981	3573632.257097287	-2129747.6210760106	5526337.257664377
2024-11-01 13:02:00.000020	3685586.1203495134	-1931401.3376010926	5525685.205037641
2024-11-01 13:02:30.000018	3793557.3709978582	-1730968.341913914	5519045.902271827
2024-11-01 13:03:00.000016	3897429.469384916	-1528664.9342147585	5506426.509806926
2024-11-01 13:03:30.000014	3997090.1328183766	-1324709.6958399808	5487840.638863347
2024-11-01 13:04:00.000013	4092431.6086012763	-1119322.9915888333	5463308.340602847
2024-11-01 13:04:30.000011	4183350.789713721	-912726.7345933386	5432856.08550094
2024-11-01 13:05:00.000009	4269749.325737212	-705144.1495528106	5396516.736094221
2024-11-01 13:05:30.000007	4351533.728972001	-496799.5344183252	5354329.513101393
2024-11-01 13:06:00.000005	4428615.475603022	-287918.0208180814	5306339.954941761
2024-11-01 13:06:30.000004	4500911.101821034	-78725.33341267836	5252599.870667332
2024-11-01 13:07:00.000002	4568342.294790209	130552.4515895713	5193167.286333894
2024-11-01 13:07:30.000000	4630835.978363532	339689.1485459554	5128106.384835716
2024-11-01 13:07:59.999998	4688324.393443423	548458.70489264	5057487.439235536
2024-11-01 13:08:29.999996	4740745.1728855325	756635.4438170355	4981386.7396301385
2024-11-01 13:08:59.999995	4788041.410853869	963994.3068712648	4899886.513588666
2024-11-01 13:09:29.999993	4830161.726531121	1170311.0962845585	4813074.840211887
2024-11-01 13:09:59.999991	4867060.32209203	1375362.7167293562	4721045.557867244
2024-11-01 13:10:29.999989	4898697.034853236	1578927.4163028626	4623898.165656604
2024-11-01 13:10:59.999987	4925037.3835143205	1780785.0264740426	4521737.718682885
2024-11-01 13:11:29.999986	4946052.60840855	1980717.2007369865	4414674.717192208
2024-11-01 13:11:59.999984	4961719.7056887895	2178507.6517284275	4302824.989665351
2024-11-01 13:12:29.999982	4972021.455375214	2373942.3865403426	4186309.5699513513
2024-11-01 13:12:59.999980	4976946.443198752	2566809.9399647727	4065254.568540626
2024-11-01 13:13:30.000019	4976489.071956774	2756901.8583938386	3939790.8669216153
2024-11-01 13:14:00.000017	4970649.580448874	2944011.9120912235	3810054.656435202
2024-11-01 13:14:30.000015	4959434.042687042	3127937.8506556004	3676186.282793405
2024-11-01 13:15:00.000013	4942854.3596071	3308480.6015721997	3538330.762365099
2024-11-01 13:15:30.000012	4920928.252104214	3485444.7459578784	3396637.460557299
2024-11-01 13:16:00.000010	4893679.2446022965	3658638.7338034115	3251259.9304190637
2024-11-01 13:16:30.000008	4861136.642137478	3827875.0952584823	3102355.74631155
2024-11-01 13:17:00.000006	4823335.500947685	3992970.6476930496	2950086.3328118
2024-11-01 13:17:30.000004	4780316.5925661195	4153746.6982789855	2794616.789018228
2024-11-01 13:18:00.000003	4732126.361432312	4310029.241806988	2636115.7084626774
2024-11-01 13:18:30.000001	4678816.876037511	4461649.153491042	2474754.994813551
2024-11-01 13:18:59.999999	4620445.773635581	4608442.376494604	2310709.673582692
2024-11-01 13:19:29.999997	4557076.198560128	4750250.103923779	2144157.700052636
2024-11-01 13:19:59.999996	4488776.7341973595	4886918.955042217	1975279.7636449863
2024-11-01 13:20:29.999994	4415621.328677141	5018301.145462591	1804259.0889650388
2024-11-01 13:20:59.999992	4337689.2143545225	5144254.651079815	1631281.2337629746
2024-11-01 13:21:29.999990	4255064.821163417	5264643.365521009	1456533.8840558992
2024-11-01 13:21:59.999988	4167837.683939033	5379337.250889156	1280206.646671105
2024-11-01 13:22:29.999987	4076102.3438092973	5488212.48159801	1102490.8394613874
2024-11-01 13:22:59.999985	3979958.2437762455	5591151.581090943	923579.279470908
2024-11-01 13:23:29.999983	3879509.618607619	5688043.5512633175	743666.0693107115
2024-11-01 13:23:59.999981	3774865.379177201	5778783.994407606	562946.382025099
2024-11-01 13:24:30.000020	3666138.842903173	5863275.336595368	381616.0012262831
2024-11-01 13:25:00.000018	3553448.196191442	5941426.489308978	199872.07737326613
