2024-11-14 13:33:59.999986:::17:23:46.381549:::-26:-36:-40.761576:::-132.51174638251348:::19.243229550026843:::60628.56840277789
2024-11-14 13:34:29.999984:::17:40:8.307901:::-20:-56:-3.093762:::-130.52864612999932:::25.726745867869546:::60628.56840277789
2024-11-14 13:34:59.999982:::18:1:22.626198:::-12:-27:-33.586578:::-127.06948256661593:::35.08450575848105:::60628.56840277789
2024-11-14 13:35:29.999980:::18:31:11.383392:::0:53:26.983125:::-119.50003061716342:::49.23469298593891:::60628.56840277789
2024-11-14 13:36:00.000019:::19:17:16.174622:::21:13:57.268436:::-92.94039807106275:::68.38793846004954:::60628.56840277789
2024-11-14 13:36:30.000017:::20:34:55.060975:::44:37:42.051050:::-7.948802729207013:::69.20525790543934:::60628.56840277789
2024-11-14 13:37:00.000015:::22:37:34.154805:::59:29:29.981637:::20.696930145029448:::50.001916640494194:::60628.56840277789
2024-11-14 13:37:30.000013:::0:45:29.427811:::62:46:50.873929:::28.62261618259993:::35.55381403653762:::60628.56840277789
2024-11-14 13:38:00.000012:::2:9:41.785450:::60:50:14.896708:::32.19956026325096:::26.006021380497295:::60628.56840277789
2024-11-14 13:38:30.000010:::2:59:6.253052:::57:55:55.572988:::34.24330543064698:::19.41220253877624:::60628.56840277789
