Date and Time, UTC	                R.A., deg	             Dec, deg	           Az, deg	            Elev, deg
2024-11-01 20:09:30.000020	34.368253159219535	29.073216291680414	34.31135715062303	34.654849316611646
2024-11-01 20:10:00.000018	35.832644912089556	27.696086633603347	32.302374532314836	45.49809063863513
2024-11-01 20:10:30.000016	37.26024402269283	26.303969586343296	27.523406354464118	60.6882306773811
2024-11-01 20:11:00.000014	38.65368846610998	24.8980932826602	2.1127359128448253	79.67081236725683
2024-11-01 20:11:30.000013	40.01550907737182	23.479607131437962	-117.94707844316866	74.63235227982206
2024-11-01 20:12:00.000011	41.34813247502301	22.049588651744795	-131.85434067222118	56.21213003986139
2024-11-01 20:12:30.000009	42.65388518667199	20.60904992353525	-135.48293935050773	42.3111992782683
2024-11-01 20:13:00.000007	43.93499866085716	19.15894365525771	-137.15883828200933	32.42255632275039
2024-11-02 20:03:00.000003	31.386164135341666	27.674203302586847	56.12079327625245	31.877425168913067
2024-11-02 20:03:30.000001	32.81324504422911	26.28181812655341	62.79840450596667	40.82945435080915
2024-11-02 20:03:59.999999	34.20621082799671	24.875690985529065	75.79744619082844	52.0341486039685
2024-11-02 20:04:29.999997	35.56759080798057	23.45697019863348	104.59759274204737	62.500854702413555
2024-11-02 20:04:59.999996	36.899810141280604	22.02673229628511	149.97543743457547	62.461173512167164
2024-11-02 20:05:29.999994	38.205193962622346	20.585988465310617	178.62310890896492	51.98891318917307
2024-11-02 20:05:59.999992	39.485972408226246	19.135690611074242	-168.43830064264517	40.82491282964127
2024-11-02 20:06:29.999990	40.74428627141746	17.676737046517037	-161.77635895609134	31.91109462777577
2024-11-03 09:50:29.999980	-113.887975597348	17.8904931344131	-172.21809851230594	33.39083515538705
2024-11-03 09:51:00.000019	-112.6267961457773	19.347907524768267	-158.3894734310846	39.56501622920345
2024-11-03 09:51:30.000017	-111.34285260599357	20.796545203819296	-138.67880313311028	44.05465404554513
2024-11-03 09:52:00.000015	-110.03399071444558	22.23550322058388	-115.53105588300906	44.298916062263224
2024-11-03 09:52:30.000013	-108.69796769788539	23.663822277558925	-95.252794888417	40.1136129739613
2024-11-03 09:53:00.000012	-107.33244501723459	25.080482949791826	-80.85079112690518	33.974245536864444
2024-11-03 19:56:59.999984	29.83333465233518	24.776513170772667	82.41661070189579	31.914292336812583
2024-11-03 19:57:29.999982	31.192630076404296	23.356907198348225	96.03878033222867	37.37119936202975
2024-11-03 19:57:59.999980	32.522930229569894	21.925855801953507	114.53144304924372	41.15245737542531
2024-11-03 19:58:30.000019	33.826555288259385	20.484363965317684	135.59164531743752	41.28493671092587
2024-11-03 19:59:00.000017	35.10572557953869	19.033383606315184	154.33497885006315	37.69315111938581
2024-11-03 19:59:30.000015	36.362577758698414	17.573807639820906	168.2390828045845	32.3030211314482
2024-11-04 09:43:30.000005	-118.22978456284287	18.03955578854073	157.6759102904901	32.10493858071433
2024-11-04 09:44:00.000004	-116.96637955314439	19.496113981379587	163.09821239980698	41.36961909270878
2024-11-04 09:44:30.000002	-115.67999309839098	20.94380742594227	174.10742372121038	53.472449190340996
2024-11-04 09:45:00.000000	-114.36846365081432	22.381725941561474	-157.71337542840226	66.122714967473
2024-11-04 09:45:29.999998	-113.02953888015756	23.80890439108612	-102.60409139254853	67.15762983316134
2024-11-04 09:45:59.999996	-111.66087015160385	25.224316902016124	-71.00516260503235	54.97434418418323
2024-11-04 09:46:29.999995	-110.2600076903433	26.62687071140175	-58.89149233798295	42.54815989856503
2024-11-04 09:46:59.999993	-108.82439669777945	28.01539962639858	-53.08035194016978	32.94574492378265
2024-11-05 09:36:59.999988	-121.23629696250984	19.723216235344836	133.1469070655837	32.96807607860485
2024-11-05 09:37:29.999987	-119.94612084381765	21.169442769050836	130.0175473459471	42.947988256174305
2024-11-05 09:37:59.999985	-118.63045546050115	22.605747119342798	123.17865644168903	56.73009661942616
2024-11-05 09:38:29.999983	-117.28703373379756	24.031155063825185	98.67962767191996	73.5551714293117
2024-11-05 09:38:59.999981	-115.91349146986114	25.444630705815175	8.700739239629085	74.99574294365492
2024-11-05 09:39:30.000020	-114.50736074500989	26.84507212794274	-20.21945969105525	58.2407644845138
2024-11-05 09:40:00.000018	-113.06607378453059	28.23129729682347	-27.74326247038781	44.028132180027654
2024-11-05 09:40:30.000016	-111.58694928831078	29.60204835371845	-31.087180592235445	33.70599941311415
