Date and Time, UTC	                R.A., deg	             Dec, deg	           Az, deg	            Elev, deg
2024-11-01 13:39:30.000006	-109.67417054576431	-7.925525161565154	116.75663736712545	31.40481464249592
2024-11-01 13:39:39.999992	-108.54352532900134	-4.886948517840157	114.486158663665	34.00391382648065
2024-11-01 13:39:50.000018	-107.3263244708949	-1.5095664604732986	111.78131182337526	36.819427386998235
2024-11-01 13:40:00.000004	-106.00648302390618	2.244520583592077	108.51857787765081	39.84952918136802
2024-11-01 13:40:09.999990	-104.5639238224069	6.4096925518618475	104.53227324258789	43.0720108091158
2024-11-01 13:40:20.000017	-102.9733346990407	11.01094704970523	99.6031864719395	46.430395743725654
2024-11-01 13:40:30.000003	-101.20245730030929	16.055647662136792	93.45351854249796	49.81469800958937
2024-11-01 13:40:39.999989	-99.20963347203688	21.52364398606446	85.76753416485366	53.03919453109972
2024-11-01 13:40:50.000015	-96.94042673140876	27.357372670114348	76.2799814452779	55.82728948095829
2024-11-01 13:41:00.000001	-94.322870622166	33.45557010403887	64.98042484395975	57.829355491233336
2024-11-01 13:41:09.999987	-91.26071322738142	39.67487003588364	52.3806524063336	58.70886447697645
2024-11-01 13:41:20.000013	-87.62427726327176	45.84090791291731	39.553095181822165	58.28944355473856
2024-11-01 13:41:29.999999	-83.23880830043075	51.766682312621235	27.68523240077962	56.65620900876983
2024-11-01 13:41:39.999985	-77.87199804870251	57.27155880451937	17.51380522487266	54.10485831183465
2024-11-01 13:41:50.000011	-71.22880445535898	62.19301571060361	9.19136258584618	50.99459752830502
2024-11-01 13:41:59.999997	-62.97626763669842	66.38859920055516	2.515545730139202	47.634015971991474
2024-11-01 13:42:09.999983	-52.846025259618536	69.73382711714966	-2.8265293237840976	44.24162937089046
2024-11-01 13:42:20.000010	-40.86646224541817	72.13036004701227	-7.131374226514095	40.952792367524474
2024-11-01 13:42:29.999996	-27.647079561691	73.5395736597183	-10.6397238819456	37.841242152737976
2024-11-01 13:42:39.999982	-14.366515201249712	74.02817357399196	-13.535595086939619	34.93989597600147
2024-11-01 13:42:50.000008	-2.236435880412968	73.77253548083442	-15.956580961563548	32.2567321991829
