Date and Time	                  X, km	                    Y, km	                  Z, km
2024-11-01 12:59:59.999987	-4229508.6154735945	-2073457.4789116879	-5084285.1871990245
2024-11-01 13:00:29.999985	-4208496.048156205	-2287115.816085659	-5009493.262698518
2024-11-01 13:00:59.999983	-4182959.376751513	-2498315.514382948	-4929301.294101598
2024-11-01 13:01:29.999981	-4152925.451697366	-2706829.176008013	-4843795.016212171
2024-11-01 13:02:00.000020	-4118425.8845519563	-2912432.483036176	-4753065.753724057
2024-11-01 13:02:30.000018	-4079497.209801502	-3114903.3375938465	-4657210.823135064
2024-11-01 13:03:00.000016	-4036180.5729803466	-3314023.753454138	-4556332.704697329
2024-11-01 13:03:30.000014	-3988521.8706608647	-3509578.9828106747	-4450539.418563499
2024-11-01 13:04:00.000013	-3936571.6630877107	-3701358.024961152	-4339944.297027654
2024-11-01 13:04:30.000011	-3880385.125152134	-3889153.854000088	-4224665.869158062
2024-11-01 13:05:00.000009	-3820021.9924388123	-4072763.642988868	-4104827.739703154
2024-11-01 13:05:30.000007	-3755546.5023583975	-4251988.984355741	-3980558.462344001
2024-11-01 13:06:00.000005	-3687027.3303817017	-4426636.106280387	-3851991.4073694614
2024-11-01 13:06:30.000004	-3614537.5214078524	-4596516.084785106	-3719264.623879416
2024-11-01 13:07:00.000002	-3538154.41629173	-4761445.051292661	-3582520.696603643
2024-11-01 13:07:30.000000	-3457959.5735740764	-4921244.39537753	-3441906.5974553986
2024-11-01 13:07:59.999998	-3374038.6864572023	-5075740.962457293	-3297573.53193362
2024-11-01 13:08:29.999996	-3286481.4950794335	-5224767.246163218	-3149676.7805029573
2024-11-01 13:08:59.999995	-3195381.6941501745	-5368161.575129089	-2998375.535092304
2024-11-01 13:09:29.999993	-3100836.836008552	-5505768.293950207	-2843832.730851257
2024-11-01 13:09:59.999991	-3002948.229188396	-5637437.938047669	-2686214.873333639
2024-11-01 13:10:29.999989	-2901820.8325660373	-5763027.402199847	-2525691.861263006
2024-11-01 13:10:59.999987	-2797563.14518856	-5882400.102487288	-2362436.805066408
2024-11-01 13:11:29.999986	-2690287.091879438	-5995426.131416025	-2196625.84135769
2024-11-01 13:11:59.999984	-2580107.9047274664	-6101982.405987518	-2028437.9435625607
2024-11-01 13:12:29.999982	-2467144.000585022	-6201952.808479016	-1858054.7289050438
2024-11-01 13:12:59.999980	-2351516.8546861694	-6295228.319730186	-1685660.261947592
2024-11-01 13:13:30.000019	-2233350.7104129945	-6381707.256088524	-1511440.6201433458
2024-11-01 13:14:00.000017	-2112773.0829052306	-6461294.932262206	-1335584.6282645687
2024-11-01 13:14:30.000015	-1989913.6707991841	-6533904.466931036	-1158282.250755544
2024-11-01 13:15:00.000013	-1864904.8464507004	-6599456.410844697	-979725.3162806443
2024-11-01 13:15:30.000012	-1737881.355543996	-6657878.960208403	-800107.0751324259
2024-11-01 13:16:00.000010	-1608980.1705383637	-6709108.040908969	-619621.9871212529
2024-11-01 13:16:30.000008	-1478340.3413317944	-6753087.383996331	-438465.5077480577
2024-11-01 13:17:00.000006	-1346102.8433221981	-6789768.592293501	-256833.8729272891
2024-11-01 13:17:30.000004	-1212410.4230572416	-6819111.198020424	-74923.88253748816
2024-11-01 13:18:00.000003	-1077407.441665804	-6841082.711333355	107067.31692347032
2024-11-01 13:18:30.000001	-941239.7162685146	-6855658.659696127	288942.4502996436
2024-11-01 13:18:59.999999	-804054.3595751862	-6862822.618014257	470504.3320647429
2024-11-01 13:19:29.999997	-665999.6178678223	-6862566.229480492	651556.0846630818
2024-11-01 13:19:59.999996	-527224.7075869027	-6854889.217093819	831901.3566077496
2024-11-01 13:20:29.999994	-387879.6507303377	-6839799.385832125	1011344.5400555235
2024-11-01 13:20:59.999992	-248115.1092754834	-6817312.615473065	1189690.9875794123
2024-11-01 13:21:29.999990	-108082.21885107044	-6787452.844075691	1366747.2278426434
2024-11-01 13:21:59.999988	32067.57813864023	-6750252.042148509	1542321.179912412
2024-11-01 13:22:29.999987	172182.6997095417	-6705750.177548103	1716222.365922568
2024-11-01 13:22:59.999985	312111.5916009757	-6653995.171166529	1888262.1218180722
2024-11-01 13:23:29.999983	451702.89447083685	-6595042.843481105	2058253.805912541
2024-11-01 13:23:59.999981	590805.6107684821	-6528956.8520549685	2226013.0049959817
2024-11-01 13:24:30.000020	729269.4562734419	-6455808.517289956	2391357.9577823295
2024-11-01 13:25:00.000018	866944.283738343	-6375677.144043765	2554108.87157541
2024-11-01 13:25:30.000016	1003681.3620012227	-6288649.343898135	2714089.4503394826
