Date and Time, UTC	        R.A., deg	          Dec, deg	        Az, deg	        Elev, deg	          MJD
2024-11-01 13:38:00.000012	203.85266349160602	52.16929663237204	-39.142124226735056	15.081557195769998	60615.56805555569
2024-11-01 13:38:30.000010	210.68009798352227	53.44357666685262	-39.13682889932012	19.3266443668152	60615.56840277789
2024-11-01 13:39:00.000008	219.77814653406458	54.458589194759064	-39.15858380319736	24.699416298121193	60615.56875000009
2024-11-01 13:39:30.000006	232.1568755162898	54.704157892436065	-39.22778437356727	31.79560717512218	60615.569097222295
2024-11-01 13:40:00.000004	248.66814963023995	53.00810375513616	-39.395161025713136	41.583383210589325	60615.569444444496
2024-11-01 13:40:30.000003	268.561994311238	47.21362243305835	-39.8314972634341	55.45951107655294	60615.5697916667
2024-11-01 13:41:00.000001	288.4640078433621	35.141888324774044	-41.69611957967309	74.5144356032465	60615.5701388889
2024-11-01 13:41:29.999999	305.01321592308045	17.96039757783582	148.77786194002212	82.86646250855324	60615.5704861111
2024-11-01 13:41:59.999997	317.47702652024077	1.0459787191934649	143.35974050680383	62.09987196653101	60615.5708333333
2024-11-01 13:42:29.999996	326.7120872514776	-11.864447502875276	142.66895749046384	46.33891160280121	60615.571180555504
2024-11-01 13:42:59.999994	333.7271673911079	-20.83217038851923	142.42278181402088	35.2045936643781	60615.571527777705
2024-11-01 13:43:29.999992	339.259973175519	-27.080530880622096	142.31046730529718	27.241653563345647	60615.57187499991
2024-11-01 13:43:59.999990	343.7927299916591	-31.599875302062454	142.2552838878022	21.311668532449445	60615.57222222211
2024-11-01 13:44:29.999988	347.6355566700196	-35.012476694363876	142.22912691290804	16.697684420681643	60615.57256944431
