Date and Time, UTC	        R.A., deg	          Dec, deg	        Az, deg	        Elev, deg	          MJD
2024-11-14 13:31:59.999993	249.8424565996532	-38.1280400977635	-135.93854338628373	5.066298500231184	60628.563888888806
2024-11-14 13:32:00.999987	249.91726580510397	-38.06763005607914	-135.92257361909446	5.1468408652916136	60628.56390046282
2024-11-14 13:32:01.999982	249.99224970904703	-38.00687255850317	-135.90648902292236	5.2277484707718544	60628.56391203683
2024-11-14 13:32:03.000017	250.06741330776447	-37.945761442381155	-135.89028761335743	5.3090285942115	60628.563923611306
2024-11-14 13:32:04.000011	250.142752547422	-37.8842978737938	-135.87396934310672	5.390678753078966	60628.56393518532
2024-11-14 13:32:05.000006	250.21827246682716	-37.82247559398261	-135.85753218890045	5.472706325225834	60628.56394675933
2024-11-14 13:32:06.000001	250.29397511570764	-37.76029074425419	-135.84097476290262	5.555115487657876	60628.56395833334
2024-11-14 13:32:06.999995	250.36986256117478	-37.697739400813724	-135.82429564234812	5.637910473850569	60628.56396990735
2024-11-14 13:32:07.999990	250.44593690596116	-37.63481758936737	-135.80749339445597	5.721095582681918	60628.56398148136
2024-11-14 13:32:08.999984	250.52220027336756	-37.571521270582835	-135.7905665540315	5.80467517266527	60628.56399305537
2024-11-14 13:32:10.000019	250.59865789928278	-37.50784377957931	-135.77351295083088	5.888657055078774	60628.56400462985
2024-11-14 13:32:11.000014	250.67530580937438	-37.44378607755036	-135.7563324423347	5.973038959048725	60628.56401620386
2024-11-14 13:32:12.000008	250.75214928820597	-37.3793413907576	-135.73902281470401	6.057828810424821	60628.56402777787
2024-11-14 13:32:13.000003	250.82919057276735	-37.31450543210726	-135.72158250642093	6.143031229621913	60628.564039351884
2024-11-14 13:32:13.999997	250.90643193275923	-37.24927385241225	-135.7040099350636	6.228650906861752	60628.564050925896
2024-11-14 13:32:14.999992	250.98387566351255	-37.1836422327187	-135.6863034861475	6.314692600079153	60628.56406249991
2024-11-14 13:32:15.999987	251.06152409832748	-37.11760609318605	-135.66846152920468	6.401161141400323	60628.56407407392
2024-11-14 13:32:16.999981	251.139379590294	-37.05116087593614	-135.65048239104493	6.488061430216763	60628.56408564793
2024-11-14 13:32:18.000016	251.21744767757838	-36.98429926225006	-135.63236365109216	6.575401965869038	60628.56409722241
2024-11-14 13:32:19.000010	251.2957245004933	-36.91702193762728	-135.6141050456019	6.663180770856354	60628.56410879642
2024-11-14 13:32:20.000005	251.37421565128204	-36.84932145491117	-135.59570409988717	6.7514064770146724	60628.56412037043
2024-11-14 13:32:21.000000	251.45292361661842	-36.7811929730227	-135.57715903312265	6.8400842878549115	60628.56413194444
2024-11-14 13:32:21.999994	251.5318509174876	-36.712631576344535	-135.55846803546558	6.929219486214918	60628.56414351845
2024-11-14 13:32:22.999989	251.61100010804674	-36.64363227180811	-135.5396292649807	7.018817435003984	60628.56415509246
2024-11-14 13:32:23.999983	251.69037377964088	-36.57418999043947	-135.52064085188076	7.108883580151451	60628.564166666474
2024-11-14 13:32:25.000018	251.76997776359798	-36.504296760569815	-135.50150011764728	7.199427102323014	60628.56417824095
2024-11-14 13:32:26.000013	251.84980831316216	-36.43395297284192	-135.48220666198492	7.290446328926985	60628.56418981496
2024-11-14 13:32:27.000007	251.92987132794565	-36.363150514341974	-135.46275775341317	7.381950595356324	60628.564201388974
2024-11-14 13:32:28.000002	252.01016953826112	-36.29188398396641	-135.4431513817104	7.473945688428081	60628.564212962985
2024-11-14 13:32:28.999996	252.09070571471733	-36.220147896927124	-135.42338550524826	7.566437486008375	60628.564224536996
2024-11-14 13:32:29.999991	252.17148267163958	-36.1479366853796	-135.40345805406133	7.65943195989922	60628.56423611101
2024-11-14 13:32:30.999986	252.25250325223868	-36.07524468409229	-135.38336690776256	7.752935170801379	60628.56424768502
2024-11-14 13:32:31.999980	252.33377034935984	-36.0020661450824	-135.36310992231785	7.846953278868405	60628.56425925903
2024-11-14 13:32:33.000015	252.41529017465638	-35.92839224860359	-135.3426840817156	7.941496352612241	60628.56427083351
2024-11-14 13:32:34.000010	252.49705913794458	-35.854222983248526	-135.32208880109272	8.036563138546468	60628.56428240752
2024-11-14 13:32:35.000004	252.57908352425562	-35.77954935910933	-135.3013209933155	8.13216388374683	60628.56429398153
2024-11-14 13:32:35.999999	252.66136638904334	-35.704365244155895	-135.28037835224438	8.228305145933774	60628.56430555554
2024-11-14 13:32:36.999993	252.74391082707055	-35.62866440323773	-135.2592585247819	8.324993585615925	60628.56431712955
2024-11-14 13:32:37.999988	252.82671998079456	-35.55244050205569	-135.23795912017093	8.422235971509554	60628.564328703564
2024-11-14 13:32:38.999982	252.90979703447726	-35.47568709990813	-135.21647770002465	8.520039179656047	60628.564340277575
2024-11-14 13:32:40.000017	252.99314857787138	-35.398394530306255	-135.19481090732097	8.618414166620546	60628.56435185205
2024-11-14 13:32:41.000012	253.07677117884435	-35.32056235591177	-135.17295795447325	8.717360115986788	60628.56436342606
2024-11-14 13:32:42.000006	253.1606715133646	-35.24218071614875	-135.15091540448563	8.81688819093353	60628.564375000075
2024-11-14 13:32:43.000001	253.24485295232438	-35.16324273261096	-135.12868063356837	8.917005723358201	60628.564386574086
2024-11-14 13:32:43.999996	253.32931891241597	-35.0837414096309	-135.10625096486194	9.017720163476213	60628.5643981481
2024-11-14 13:32:44.999990	253.41407286881082	-35.00366964112846	-135.08362368316892	9.119039087352084	60628.56440972211
2024-11-14 13:32:45.999985	253.49911834130128	-34.92302019685201	-135.06079601398082	9.220970192808146	60628.56442129612
