Date and Time, UTC	                R.A., deg	             Dec, deg	           Az, deg	            Elev, deg
2024-11-01 14:44:40.000001	-95.32993141676731	42.42114598834839	53.53007427131607	43.431237430423394
2024-11-01 14:44:49.999987	-90.08153027266239	40.30677079050313	55.85573155372427	47.56375214642857
2024-11-01 14:45:00.000013	-84.62034722421936	37.66722254511652	58.96170586388084	52.11301904431409
2024-11-01 14:45:09.999999	-79.01736354291391	34.444633366464586	63.28376082201872	57.0458435593094
2024-11-01 14:45:19.999985	-73.35644780718309	30.609607150882134	69.60865317418364	62.24079111865632
2024-11-01 14:45:30.000012	-67.72689873736893	26.17911111569044	79.40121367682373	67.39939170710733
2024-11-01 14:45:39.999998	-62.21471532548435	21.23102011069033	95.1650719204566	71.86667558387074
2024-11-01 14:45:49.999984	-56.89445976534071	15.906875416704397	118.99245520546744	74.4145024453958
2024-11-01 14:46:00.000010	-51.823866873419256	10.396730666731543	146.04897530491428	73.7989305695767
2024-11-01 14:46:09.999996	-47.0417324203852	4.907499677548721	166.92225742778498	70.37295488996362
2024-11-01 14:46:19.999982	-42.568597014998694	-0.3740342241408242	-179.86376034406845	65.54867664356937
2024-11-01 14:46:30.000008	-38.40961261886916	-5.308557520574724	-171.5807823162519	60.33399802383225
2024-11-01 14:46:39.999994	-34.558265574860464	-9.81410015292358	-166.1176922258619	55.22312127442898
2024-11-01 14:46:49.999980	-30.999956278196944	-13.860515590257485	-162.3095608912065	50.43361889946257
2024-11-01 14:47:00.000006	-27.715222075259383	-17.45567172589992	-159.52717572613352	46.046620388253324
2024-11-01 14:47:09.999992	-24.682228044424587	-20.630634617704576	-157.41542527138796	42.07512408071393
